"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.blogger.com","30,351,768","100"
"2","www.google.com","14,625,475","100"
"3","youtube.com","22,874,241","100"
"4","linkedin.com","12,151,448","99"
"5","support.google.com","5,528,219","99"
"6","play.google.com","3,869,078","99"
"7","wordpress.org","12,102,336","99"
"8","apple.com","6,555,449","99"
"9","docs.google.com","3,368,984","98"
"10","maps.google.com","5,925,377","98"
"11","mozilla.org","2,443,216","98"
"12","microsoft.com","5,277,346","98"
"13","cloudflare.com","6,737,200","98"
"14","en.wikipedia.org","7,014,162","98"
"15","youtu.be","5,207,150","98"
"16","adobe.com","2,866,627","97"
"17","europa.eu","2,280,180","97"
"18","bp.blogspot.com","17,983,838","97"
"19","sites.google.com","2,253,542","97"
"20","accounts.google.com","2,537,927","97"
"21","whatsapp.com","3,886,702","97"
"22","googleusercontent.com","3,503,113","97"
"23","plus.google.com","11,011,128","97"
"24","drive.google.com","2,471,271","97"
"25","amazon.com","4,999,554","96"
"26","feedburner.com","1,827,918","96"
"27","github.com","2,909,916","96"
"28","t.me","1,316,793","96"
"29","vk.com","1,802,433","96"
"30","istockphoto.com","3,645,129","96"
"31","uol.com.br","688,136","96"
"32","facebook.com","59,021,650","96"
"33","policies.google.com","2,894,122","96"
"34","vimeo.com","3,560,484","96"
"35","cnn.com","1,653,262","95"
"36","search.google.com","1,550,994","95"
"37","jimdofree.com","1,715,229","95"
"38","google.de","1,118,169","95"
"39","pt.wikipedia.org","420,551","95"
"40","ok.ru","367,263","95"
"41","nih.gov","1,485,530","95"
"42","google.co.jp","657,600","95"
"43","google.com.br","297,500","95"
"44","dailymotion.com","1,133,609","95"
"45","fr.wikipedia.org","642,063","95"
"46","opera.com","972,218","95"
"47","google.es","479,189","95"
"48","shopify.com","2,740,115","95"
"49","who.int","2,026,450","95"
"50","forbes.com","1,439,608","95"
"51","netvibes.com","1,225,930","95"
"52","paypal.com","1,149,378","95"
"53","line.me","944,715","95"
