Nom_de_Domaine,have_IP,have_at,longueur,profondeur,nb_de_caractere_spec,redirection,http_ds_domaine,red_URL,whois,periode_de_vie,age_url,iframe,forwarding,label
blogger,0,0,0,0,1,0,0,0,0,0,0,0,4,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
youtube,0,0,0,0,1,0,0,0,0,0,0,0,1,0
linkedin,0,0,0,0,1,0,0,0,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
wordpress,0,0,0,0,1,0,0,0,0,0,0,0,0,0
apple,0,0,0,0,1,0,0,0,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
mozilla,0,0,0,0,1,0,0,0,0,0,0,0,1,0
microsoft,0,0,0,0,1,0,0,1,0,0,0,0,2,0
cloudflare,0,0,0,0,1,0,0,0,0,0,0,0,1,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
youtu,0,0,0,0,1,0,0,0,0,1,1,0,1,0
adobe,0,0,0,0,1,0,0,0,0,0,0,0,1,0
europa,0,0,0,0,1,0,0,0,0,1,1,0,1,0
blogspot,0,0,0,0,1,0,0,1,1,1,1,1,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
whatsapp,0,0,0,0,1,0,0,0,0,0,0,0,1,0
googleusercontent,0,0,0,0,1,0,0,1,0,0,0,1,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
amazon,0,0,0,0,1,0,0,0,0,0,0,0,1,0
feedburner,0,0,0,0,1,0,0,0,0,0,0,0,0,0
github,0,0,0,0,1,0,0,0,0,0,0,0,0,0
t,0,0,0,0,1,0,0,0,0,1,1,0,1,0
vk,0,0,0,0,1,0,0,0,0,0,0,0,1,0
istockphoto,0,0,0,0,1,0,0,0,0,0,0,0,0,0
uol,0,0,0,0,1,0,0,0,0,0,0,0,1,0
facebook,0,0,0,0,1,0,0,0,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vimeo,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cnn,0,0,0,0,1,0,0,0,0,0,0,0,2,0
google,0,0,0,0,1,0,0,0,0,0,0,0,1,0
jimdofree,0,0,0,0,1,0,0,0,0,1,1,0,1,0
google,0,0,0,0,1,0,0,0,0,1,1,0,1,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ok,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nih,0,0,0,0,1,0,0,0,0,1,1,0,1,0
google,0,0,0,0,1,0,0,0,0,1,1,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,1,0
dailymotion,0,0,0,0,1,0,0,0,0,0,0,0,1,0
wikipedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
opera,0,0,0,0,1,0,0,0,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,1,1,0,1,0
shopify,0,0,0,0,1,0,0,0,0,0,0,0,1,0
who,0,0,0,0,1,0,0,0,0,1,1,0,1,0
forbes,0,0,0,0,1,0,0,0,0,0,0,0,1,0
netvibes,0,0,0,0,1,0,0,0,0,0,0,0,2,0
paypal,0,0,0,0,1,0,0,0,0,0,0,0,2,0
line,0,0,0,0,1,0,0,0,0,0,0,0,1,0
brandbucket,0,0,0,0,1,0,0,1,0,0,0,0,0,0
imdb,0,0,0,0,1,0,0,0,0,0,0,0,1,0
live,0,0,0,0,1,0,0,0,0,0,0,0,1,0
gravatar,0,0,0,0,1,0,0,0,0,0,0,0,1,0
dropbox,0,0,0,0,1,0,0,1,0,0,0,0,1,0
msn,0,0,0,0,1,0,0,0,0,0,0,0,2,0
yahoo,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bbc,0,0,0,0,1,0,0,0,0,0,0,0,1,0
wordpress,0,0,0,0,1,0,0,0,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nytimes,0,0,0,0,1,0,0,0,0,0,0,0,1,0
slideshare,0,0,0,0,1,0,0,0,0,0,0,0,1,0
globo,0,0,0,0,1,0,0,0,0,0,0,0,1,0
wikimedia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
blogger,0,0,0,0,1,0,0,0,0,0,0,0,4,0
creativecommons,0,0,0,0,1,0,0,0,0,0,0,0,0,0
enable-javascript,0,0,0,0,2,0,0,1,0,0,0,0,0,0
google,0,0,0,0,1,0,0,0,0,0,0,0,2,0
buydomains,0,0,0,0,1,0,0,0,0,0,0,0,2,0
